,leaf06.1,leaf06.2,leaf06.3,leaf06.4,leaf06.5,leaf06.6,leaf06.7
1,0.547,1.634,2.725,5.42,8.79,10.1,10.03
2,0.426,1.012,2.053,3.63,6.73,6.2125,4.12
3,0.755,1.779,3.327,6.3,8.93,6.6875,7.39
4,0.606,1.477,2.432,4.5,6.26,7.575,6.28
5,0.659,1.224,2.353,4.46,7.65,8.1625,9
6,0.427,0.941,2.55,4.16,7.59,10,10.7
7,0.561,1.066,2.429,4.65,8.84,9.3625,8.83
8,0.651,1.171,2.444,3.88,6.68,7.5375,8.19
9,0.465,0.709,1.83,3.39,5.76,5.1125,4.73
10,0.715,1.413,2.964,4.65,8.07,10.8625,9.3
11,0.633,1.112,2.405,4.23,6.29,5.225,8.24
12,0.433,0.945,2.41,3.46,6.71,10.575,9.71
13,0.612,1.464,3.045,4.98,8.87,9.125,11.07
14,0.516,0.916,1.787,4.03,7.83,9.2125,12.71
15,0.527,1.054,1.677,3.6,5.24,5.9125,3.91
16,0.487,0.954,2.668,6.6,7.05,8.1375,7.21
17,0.408,0.819,1.499,4.35,6.24,4.175,7.85
18,0.278,0.681,1.72,3.15,3.88,5.8875,3.68
19,0.347,0.863,2.086,3.77,5.78,10.6625,9.37
20,0.45,0.833,2.005,2.55,4.63,7.925,7.79
21,0.526,1.132,2.452,4.45,5.15,6.55,5.46
22,0.574,1.216,2.311,4.98,6,8.2875,7.84
23,0.479,0.944,2.066,3.7,7.55,7.7125,10.11
24,0.759,1.221,2.119,5.35,6.86,6.6125,9.61
25,0.428,0.888,1.963,3.07,6.38,6.15,5.47
26,0.607,1.379,3.026,5.581,7.78,7.9625,8.82
27,0.47,1.332,3.356,5.8,8.76,7.325,6.83
28,0.59,1.473,2.768,5.11,6.51,8.6,7.95
29,0.471,1.078,2.497,4.79,7.13,8.525,8.82
30,0.486,0.853,1.837,3.77,5.32,7.85,8.94
31,0.457,0.817,1.941,3.6,6.08,7.875,9.57
32,0.522,0.875,2.148,4.65,7.23,8.6125,9.32
33,0.472,0.823,1.918,2.9,3.18,3.025,NA
34,0.484,1.116,2.275,4.71,8.61,8.8625,12.97
35,0.599,1.239,2.34,4.51,5.29,9.2625,7.8
36,0.516,1.073,2.178,4.5,4.15,4.075,NA
37,0.514,1.404,2.123,4.1,10.27,10,7.7
38,0.4,0.942,2.709,4.46,9,8.8625,10.79
39,0.489,0.892,2.307,3.48,7.49,8.9375,11.17
40,0.443,0.9,2.741,4.46,6.46,8.0375,9.6
41,0.387,1.042,1.919,3.37,3.4,3.325,NA
42,0.529,1.128,2.684,4.35,5.02,2.8125,NA
43,0.626,1.518,2.785,4.52,6.94,5.9875,4.59
44,0.86,1.847,3.778,6.15,8.33,8.1,4.12
45,0.651,1.329,2.51,4.662,7.07,6.3375,6.08
46,0.511,0.984,2.478,3.21,3.14,2.375,NA
47,0.335,0.877,1.239,1.89,3.1,4.45,5.36
48,0.379,0.994,1.756,3.78,5.56,8.1625,8.34
49,0.462,0.789,2.048,2.86,6.58,7.8875,7.66
50,0.439,0.644,2.499,3.37,4.65,4.95,3.67
51,0.441,0.943,1.77,2.92,6.17,6.625,2.64
52,0.323,0.935,1.896,2.76,2.91,3.1875,NA
53,0.548,1.005,2.122,4,6.85,8.95,8.26
54,0.533,1.252,2.617,4.36,6.4,6.475,3.45
55,0.472,1.282,2.314,4.58,9.46,7.425,4
56,0.303,0.948,2.335,4.71,6.37,5.675,3.02
57,0.688,1.47,3.494,5.74,8.93,7.95,9.25
58,0.505,0.95,2.037,3.712,6.63,4.6125,3.31
59,0.455,1.035,2.22,4.17,5.42,7.025,5.74
60,0.522,1.011,2.276,4.93,7.53,10.3125,8.48
61,0.412,0.807,1.805,3.69,6.37,9.8125,9.07
62,0.584,1.121,2.133,3.9,7.03,5.9125,8.72
63,0.495,0.896,1.598,3.2,6.62,7.625,8.71
64,0.504,1.09,1.848,3.69,6.33,5.32,5.02
65,0.311,0.996,2.033,3.57,4.01,3.4375,NA
66,0.543,1.263,2.625,3.02,3.7,1.8375,NA
67,0.455,0.839,1.98,4.01,4.31,4.825,3.92
68,0.652,1.364,2.505,4.63,5.72,3.925,NA
69,0.43,1.059,2.204,4.283,6.58,7.95,11.55
70,0.639,1.073,2.71,4.82,8.12,9.525,8.3
71,0.693,1.67,3.304,5.19,6.31,6.275,4.06
72,0.457,1.359,2.242,4.19,6.36,6.2625,1.72
73,0.558,1.508,2.944,5.19,8.34,8.8125,6.47
74,0.341,0.604,1.434,2.48,4.04,4.1125,2.18
75,0.592,1.373,2.535,4.62,7.42,11.075,10.7
76,0.558,1.066,2.347,3.74,7.4,10.5375,10.61
77,0.382,0.795,2.192,3.35,3.38,2.9,NA
78,0.539,0.967,2.244,4.3,6.53,6.4,5.62
79,0.587,1.196,2.584,3.92,5.88,6.1,6.95
80,0.572,1.148,2.438,5.09,5.83,3.5625,1.19
81,0.593,1.401,2.59,4.498,5.93,8.2375,6.34
82,0.507,0.943,1.992,5.05,5.99,6.8875,7.31
83,0.338,0.769,1.514,2.81,5.01,5.4125,3.37
84,0.465,0.955,1.855,3.67,7.11,9.975,8.62
85,0.495,1.154,2.913,6.12,5.89,5.525,NA
86,0.478,0.959,2.108,3.86,5.89,6.4625,6.07
87,0.445,1.209,3.333,5.34,10.52,9.0625,9.13
88,0.66,1.168,2.68,4.75,7.15,6.7875,8.09
89,0.385,0.895,2.286,3.95,6.7,6.5025,5
90,0.627,1.107,2.278,4.48,7,6.875,5.3
91,0.374,0.733,1.477,2.8,5.79,6.7125,8.41
92,0.604,1.204,2.024,5.18,7.21,9.7,7.56
93,0.368,0.727,2.177,2.99,5.92,9.45,14.21
94,0.255,0.639,1.593,3.23,3.13,2.7625,NA
95,0.537,1.028,2.14,4.37,6.37,6.675,6.23
96,0.452,1.132,2.001,3.85,6.43,5.7,6.56
97,0.476,1.036,2.264,4.45,6.24,8.4,6.71
98,0.611,1.177,2.712,4.643,6.64,11.3375,9.74
99,0.435,0.874,1.953,3.6,5.18,6.5125,7.41
100,0.431,0.815,1.866,2.91,5.6,7.0375,7.93
101,0.358,0.854,1.792,3.07,5.26,2.375,3
102,0.476,0.984,2.752,3.78,4.03,2.6625,NA
103,0.544,1.199,2.21,3.82,6.75,7.3,7.5
104,0.515,1.068,2.291,5.33,7.93,10.1875,11.56
105,0.582,1.396,2.661,4.74,8.63,10.75,13.89
106,0.481,0.884,2.069,2.92,6.73,8.7375,12.98
107,0.446,0.841,1.833,4.2,6.76,12.275,10.51
108,0.373,0.702,1.529,3.36,4.98,4.6875,2.04
109,0.76,1.348,2.902,6.05,8.65,9.7,9.55
110,0.517,1.134,2.014,6.45,9.2,6.5625,5.64
111,0.37,0.832,1.844,3.73,7.19,7.2,7.41
112,0.557,1.165,2.9,5.37,8.82,7.0875,7.34
113,0.534,1.12,2.104,4.35,5.88,4.775,2.66
114,0.669,1.234,3.06,4.23,7.51,9.4625,9.95
115,0.361,1.037,1.738,5.28,3.84,9.825,12.66
116,0.296,0.793,1.695,3.45,3.89,4.3125,NA
117,0.433,0.844,2.128,3.854,5.3,4.475,4.4
118,0.394,0.909,1.925,3.24,4.8,4.8625,5.02
119,0.447,0.925,1.878,3.26,6.09,7.0875,8.99
120,0.443,1.026,2.84,4.3,4.97,3.5125,NA
121,0.473,1.155,2.713,4.73,8.32,10.9125,14.11
122,0.425,0.909,1.747,3.07,6.65,10.0625,9.99
123,0.593,1.379,2.517,4.52,8.23,7.775,13.23
124,0.397,0.887,1.557,2.99,4.89,4.875,5.38
125,0.375,0.997,1.885,3.35,5.6,7.1,5.67
126,0.469,0.967,2.163,4.87,6.35,7.175,3.12
127,0.723,1.455,2.92,6.81,9.8,13.225,11.51
128,0.536,1.392,3.595,6.14,7.87,9.1375,12.81
129,0.417,0.864,2.199,3.19,3.75,1.8375,NA
130,0.515,0.791,2.192,3.89,5.88,6.6625,8.3
131,0.418,1.006,1.853,4.21,6.89,9.875,6.95
132,0.511,1.175,2.148,4.01,5.29,4.85,4.19
133,0.408,0.835,1.496,3.49,3.68,4.175,3.49
134,0.614,1.017,1.914,3.833,7.61,8.6375,9.54
135,0.421,0.936,2.279,5.18,9.87,10.5375,14.08
136,0.505,0.921,1.824,3.64,4.03,6.75,6.43
137,0.523,1.026,2.265,4.34,4.73,6.2375,4.13
138,0.424,1.244,2.06,4.63,4.53,4.875,1.52
139,0.466,0.985,2.206,3.54,6.48,8.9,10.1
140,0.423,0.985,2.782,4.432,7.61,8.8625,8.74
141,0.369,0.793,1.752,3.84,5.67,4.12875,5.9
142,0.438,1.094,2.064,3.46,2.6,2.5125,NA
143,0.405,0.935,2.905,5.18,6.1,5.0375,2.12
144,0.37,0.761,1.558,3.19,5.25,6.825,8.2
145,0.302,0.587,1.097,2.35,4.42,7.2125,8.17
146,0.396,0.716,1.746,2.48,5.51,2.8625,NA
147,0.446,1.03,1.924,2.61,5.22,9.2,11.61
148,0.416,0.809,2.006,3.8,5.5,7.2125,8.3
149,0.506,1.325,2.896,5.14,10.86,11.6125,12.19
150,0.531,1.072,1.809,3.5,5.54,6.65,7.82
151,0.416,0.824,1.925,3.17,5.82,8.175,6.85
152,0.558,1.471,2.779,4.21,6.95,10.6875,11.21
153,0.496,1.171,2.111,3.38,6.86,9.9875,11.21
154,0.414,1.209,2.641,5.49,7.6,9.2625,14.34
155,0.326,0.618,1.416,2.64,3.51,3.3875,1.51
156,0.582,1.625,3.188,4.49,9.58,9.125,13.94
157,0.443,0.974,1.815,3.8,6.09,7.25,8.36
158,0.492,1.163,2.864,5,5.17,3.925,0.84
159,0.497,1.128,2.179,4.4,6.95,7.3375,5.6
160,0.468,1.16,2.053,3.75,5.13,5.5375,4.81
161,0.312,0.624,1.624,2.59,3.21,1.1,NA
162,0.312,0.701,1.671,2.91,3.77,2.525,NA
163,0.415,0.983,2.043,3.77,5.49,9.275,9.25
164,0.531,1.1,2.3,3.33,7.76,8.35,8.8
165,0.471,1.079,2.225,3.88,5.86,6.175,4.08
166,0.375,0.724,1.574,3.09,5.7,7.8875,7.86
167,0.502,1.088,2.145,4.48,7.15,10.1125,12.13
168,0.556,0.968,2.488,4.99,5.51,8.0125,6.65
169,0.358,0.971,1.424,3.78,7.56,7.6375,7.25
170,0.466,0.862,2.017,3.54,4.99,9.5125,9.84
171,0.51,1.014,2.169,4.18,6.31,8.6,6.55
172,0.44,1.105,2.452,5.28,7.17,6.9625,4.64
173,0.412,0.933,2.186,4.3,6.78,10.3375,9.31
174,0.399,0.885,1.552,3.49,4.04,3.95,NA
175,0.584,1.364,2.855,5.05,7.26,9.1375,8.65
176,0.438,0.843,1.84,3.7,7.87,6.5625,5.99
177,0.66,1.224,2.141,3.69,5.59,8.65,5.82
178,0.522,1.179,2.185,4.38,7.11,8.625,8.91
179,0.613,1.368,2.863,5,4.86,4.85,1.63
180,0.495,0.968,1.948,3.68,5.63,4.8625,1.81
181,0.525,1.023,2.147,4.34,4.53,4.225,1.36
182,0.326,0.689,1.878,3.34,5.55,5.6875,4.35
183,0.524,1.16,2.357,4.49,6.86,7.7,7.26
184,0.493,1.012,2.813,4.1,5.97,10.15,8.63
